Models,layer,accuracy,f1,auc
Qwen2.5-1.5B,0,0.4769864141622066,0.4349759829211884,0.4619176203142833
,4,0.4744339234252779,0.4198854857766064,0.4506857118497022
,7,0.4810209962947715,0.4414709791758972,0.4596688630446389
,8,0.5357760395224372,0.5464199517296863,0.5625362166977228
,12,0.5060518731988473,0.3649835926749232,0.4849996702395774
,14,0.5424454508027995,0.4349771225216065,0.5622556627132297
,16,0.4974886784685056,0.3488744265443294,0.4701183227039833
,20,0.3903664059283656,0.518970893970894,0.3340463453324906
,21,0.3841910251132153,0.391307886383983,0.3425166187320842
,24,0.6339234252778921,0.643635780698942,0.6809306896743984
,27,0.5134623301770276,0.4865757233469459,0.5060821272671301
LLaMA-3.2-3B,0,0.4770687525730753,0.448745768596476,0.4655566052205848
,4,0.470152326060107,0.4570994684889901,0.4514948452154474
,7,0.4704816797035817,0.4575284690004217,0.4591404870518051
,8,0.5147797447509264,0.5019859714358151,0.5256128526945006
,12,0.5569370111156855,0.4735348791703356,0.5722542102487369
,14,0.5198023878139152,0.5057627118644068,0.5230106470311691
,16,0.4967476327706875,0.4715545564585855,0.4948844694122259
,20,0.5079456566488266,0.4843830888697152,0.513171800081876
,21,0.4889254837381638,0.4518237216285437,0.4858480440108673
,24,0.5205434335117333,0.4810622939131985,0.5172079890103001
,27,0.5212021407986825,0.4600241433745008,0.5151602472942831
Qwen3-4B-Base,0,0.5505146150679292,0.573815286126942,0.4965778542662862
,4,0.4515438452037875,0.4177956472336334,0.4925780583055478
,8,0.414985590778098,0.3036361854356562,0.3793822475429051
,9,0.4127624536846438,0.3388950685947349,0.4036444791054467
,12,0.3916014820913956,0.3297959183673469,0.3419463582842652
,16,0.4556607657472211,0.2290379008746355,0.4897491423517168
,18,0.5064635652531906,0.5118097410001629,0.5734579035871643
,20,0.4276657060518732,0.3081516870707674,0.4195413721331182
,24,0.5664882667764513,0.4969905417024935,0.5748660158454222
,27,0.5430218196788802,0.506842011729163,0.5406102943393803
,28,0.545821325648415,0.5289496157130658,0.5147841685492298
,32,0.5768629065459037,0.5733499377334994,0.564017453872049
,35,0.5766982297241663,0.5676562105794298,0.5771439932511926
Llama-3.1-8B,0,0.4360642239604775,0.380012673123925,0.468864270393133
,4,0.4766570605187319,0.4255242227042661,0.5247324655861372
,8,0.437710992177851,0.389013152008589,0.4801851951888822
,12,0.5569370111156855,0.4655874466183335,0.6690226231920938
,16,0.4612597776862907,0.427308533916849,0.4752053653539381
,20,0.4964182791272128,0.4471162538419815,0.5496863804823484
,24,0.4722931247426924,0.427818944737077,0.4787833066162306
,28,0.5866611774392754,0.5870352089503126,0.5565158652729082
,31,0.6184438040345821,0.6244123845031609,0.6329640396259215
Qwen3-8B-Base,0,0.4590366405928365,0.4268016053044844,0.503315746472377
,4,0.4663647591601482,0.4086139246281595,0.5139704114867705
,8,0.4165500205846027,0.3327683615819209,0.4121935858560548
,9,0.5608892548373816,0.5291780700979959,0.5634973490082347
,12,0.4667764512144916,0.3282157676348547,0.5192579544396926
,16,0.5706051873198847,0.5634156550858099,0.5764404727115657
,18,0.5045697818032112,0.3852048635945642,0.5813288591135476
,20,0.615726636475916,0.5782958344628174,0.6403311071250597
,24,0.6015644298065047,0.5788878252545471,0.6466828325205389
,27,0.5749691230959243,0.5629867930917711,0.5847614318935168
,28,0.5756278303828736,0.5717846460618146,0.588829823988205
,32,0.5895430218196789,0.5993731415253556,0.5669812977027198
,35,0.4993824619184849,0.4859655055799797,0.5219014479519817
Qwen2.5-3B,0,0.4756689995883079,0.4531088972861559,0.4647839461778923
,4,0.431700288184438,0.494581136496778,0.4008954812408625
,8,0.4550843968711404,0.4765068818224964,0.443607116924151
,9,0.4654590366405928,0.4661184210526315,0.4517826262684115
,12,0.4664470975710169,0.490566037735849,0.4637202247490837
,16,0.4219843557019349,0.497134670487106,0.4115120855025386
,18,0.4634005763688761,0.5072956830725032,0.4748237544439014
,20,0.4606010703993413,0.5092516293355307,0.4592663302459513
,24,0.4219020172910663,0.5008176324209029,0.4152369003214513
,27,0.4439687114038699,0.479296784640296,0.4194410880835648
,28,0.4829971181556196,0.5197705544933079,0.4923017212409319
,32,0.4795389048991354,0.4597897615588411,0.4692205526654513
,35,0.4871963771099217,0.4647645238913716,0.4825178976384597
SmolLM3-3B-Base,0,0.4727871552079045,0.4004120235977151,0.4638254850352767
,4,0.4351585014409221,0.5068296189791517,0.4268992329165119
,8,0.4746809386578839,0.5245901639344263,0.4673807281500636
,9,0.4496500617538082,0.4984241332733003,0.4427744176203143
,12,0.4620008233841087,0.5147058823529411,0.4533076868673129
,16,0.4511321531494442,0.4479045883717078,0.4267887930052607
,18,0.4930424042815973,0.5556758317096052,0.5021584934895096
,20,0.4791272128447921,0.5203215043979376,0.4575216779511984
,24,0.4764923836969946,0.5161339421613395,0.4739082218168193
,27,0.4644709757101688,0.4777581499919704,0.4412683941773855
,28,0.4550020584602717,0.4490135686339798,0.437049467534544
,32,0.4760806916426513,0.4898580934819209,0.4592996317096754
,35,0.5103334705640181,0.4063092742338025,0.495794659703515
Llama-3.2-1B,0,0.4978180321119802,0.4882959979864082,0.4919346322639767
,4,0.4660354055166735,0.4110435019525928,0.44137835951566
,8,0.4788801976121861,0.410762498836235,0.4462409969438585
,12,0.5045697818032112,0.4691662990736656,0.4952437075962266
,15,0.5058871963771099,0.4551974580118021,0.5054340232919332
SmolLM2-360M,0,0.4724578015644298,0.395509010283989,0.4462819729305743
,4,0.4759983532317826,0.4278007552598453,0.4492126644490278
,8,0.4228900782214903,0.4513502935420743,0.3894859062130985
,12,0.4655413750514615,0.4611041926110419,0.4363792077809575
,16,0.4057636887608069,0.3564868479714668,0.3565195452473604
,20,0.4083985179086044,0.4193939393939394,0.3747643677375419
,24,0.4723754631535611,0.4766416203854949,0.4499908420974758
,28,0.4895841910251132,0.4668444138642814,0.4679529004490166
,31,0.561547962124331,0.5181431544656592,0.5879819383491195
